time_s,id,kind,role,alive,x_m,y_m,z_m,yaw_rad
1.0,H1,drone,hostile_ground,True,166.06719922395018,108.56031275941041,80.0,0.6226885518881407
1.0,H2,drone,hostile_ground,True,825.3122216180764,113.11238035798239,80.0,2.5105665798468157
1.0,H3,drone,hostile_air,True,887.7265619981882,506.9286948708444,95.0,-2.756895798494458
1.0,H4,drone,hostile_ground,True,199.18449610667568,599.8979077678787,80.0,-0.6933197552431032
1.5,asset-alpha,asset,protected_ground_asset,True,500.0,350.0,0.0,0.0
1.5,F1,drone,friendly,True,374.03724048197853,462.509231164128,70.0,2.5911585350630375
1.5,F2,drone,friendly,True,397.3180958305326,471.2849168639215,70.0,2.6135167446452248
1.5,F3,drone,friendly,True,423.2546159735483,463.8750201650223,70.0,2.6923383622736177
1.5,F4,drone,friendly,True,478.11380738259163,419.0888085433614,70.0,2.7551583797201467
1.5,F5,drone,friendly,True,516.6597606770573,412.30516300841316,70.0,-1.8567555667333773
1.5,F6,drone,friendly,True,564.2363107698927,426.2855042867112,70.0,0.1167563085562155
1.5,H1,drone,hostile_ground,True,178.99111781381876,117.88645170201258,80.0,0.6250881697534653
1.5,H2,drone,hostile_ground,True,813.090153129357,122.02032023993094,80.0,2.5117716501571925
1.5,H3,drone,hostile_air,True,871.7137141088085,500.4470877873311,95.0,-2.75697633396936
1.5,H4,drone,hostile_ground,True,211.491415172649,589.6734399037998,80.0,-0.6932355376170835
2.0,asset-alpha,asset,protected_ground_asset,True,500.0,350.0,0.0,0.0
2.0,F1,drone,friendly,True,356.2541635528189,473.67893012746583,70.0,2.5807612480733266
2.0,F2,drone,friendly,True,379.2105075706815,481.9204820774728,70.0,2.610523545242859
2.0,F3,drone,friendly,True,405.686736499965,471.94452378198235,70.0,2.711004712762764
2.0,F4,drone,friendly,True,459.4454714948957,428.7061488817379,70.0,2.6658839383877466
2.0,F5,drone,friendly,True,497.33392954214014,420.52174690591374,70.0,2.73958589949797
2.0,F6,drone,friendly,True,585.0925683071088,428.738364156602,70.0,0.11707008322714739
2.0,H1,drone,hostile_ground,True,191.65209545652405,127.0364457078725,80.0,0.6257940600269669
2.0,H2,drone,hostile_ground,True,800.7558733234731,131.00390268604122,80.0,2.512096914425951
2.0,H3,drone,hostile_air,True,855.4920747327742,493.8813878281573,95.0,-2.756998622122547
2.0,H4,drone,hostile_ground,True,223.79858529867923,579.4492742415588,80.0,-0.693210982425505
2.5,asset-alpha,asset,protected_ground_asset,True,500.0,350.0,0.0,0.0
2.5,F1,drone,friendly,True,338.62695519100873,485.09302340592336,70.0,2.5669578893783487
2.5,F2,drone,friendly,True,361.1776150357365,492.5034635736092,70.0,2.6108827738671447
2.5,F3,drone,friendly,True,387.7838906633491,479.90728980294864,70.0,2.723091032258002
2.5,F4,drone,friendly,True,440.77613188426636,438.3215406315828,70.0,2.66598831491916
2.5,F5,drone,friendly,True,478.00611619157536,428.73366696676,70.0,2.739827213697125
2.5,F6,drone,friendly,True,605.953653327336,431.1498225905898,70.0,0.11508522897840132
2.5,H1,drone,hostile_ground,True,204.43703606446937,136.27974535814792,80.0,0.6259850969744089
2.5,H2,drone,hostile_ground,True,788.2260304070451,140.12821287857847,80.0,2.5121860498898165
2.5,H3,drone,hostile_air,True,839.2703920766893,487.3157948004657,95.0,-2.7570052140173034
